Name,Location,Experience Tags,Can Help With,Stages,Objectives,Interests,Looking for
User0,"Hoboken, United States",EnterpriseHealthcareMarketplace,Software EngineeringBusiness DevelopmentProduct Management,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founderLooking to join another team,AI/MLB2B SaaSBiotechBlockchain/CryptoClean TechnologyClimateHealthcareMarketplaceVentureReal Estate,Business DevelopmentGrowthProduct ManagementRecruitingSoftware EngineeringData Science
User1,"Santa Clara, United States",AcademiaAnalyticsBiotechEcommerceFinTechFuture of FoodInsuranceScienceBlockchain/CryptoDirect to Consumer,ResearchCommunicationsData Science,Open to new ideas,Looking for co-founderLooking to join another team,AI/MLBiotechBlockchain/CryptoClean TechnologyEcommerceFinTechFuture of FoodFuture of WorkMental Health/WellnessMarketplace,
User2,"Rochester, United States",AI/MLAnalyticsB2B SaaSClimateCommunityDirect to Consumer,Business DevelopmentData ScienceCommunications,Open to new ideasRaising funding,Looking for co-founderLooking to join another team,AI/MLAnalyticsB2B SaaSBlockchain/CryptoClean TechnologyClimateCommunityEducationEnterpriseMarketplace,DesignGrowthHardware EngineeringMarketingData ScienceAnalyticsC-Suite Executives
User3,"San Francisco, United States",FinTechGovernmentB2B SaaSEcommerceMarketplace,Business DevelopmentOperationsGrowth,Built a basic prototype/MVPOpen to new ideas,Looking for co-founderLooking to join another team,AI/MLClimateFinTechMarketplaceClean TechnologyEcommerce,Data ScienceC-Suite ExecutivesProduct Management
User4,"New York, United States",AnalyticsEcommerceCoachingConsumerDirect to ConsumerPeople OpsTalent,AnalyticsMarketingOperations,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founder,AnalyticsClean TechnologyClimateDirect to ConsumerEcommerceFuture of WorkMarketplaceNo-CodeSocial ImpactCommunity,Software Engineering
User5,"Paris, France",B2B SaaSEnterprise,Product Management,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founderLooking to join another team,ClimateB2B SaaSAnalyticsFinTechProductivityAI/ML,MarketingBusiness Development
User6,,B2B SaaS,Software EngineeringDesignProduct Management,Open to new ideas,Looking for co-founder,B2B SaaSAI/MLBlockchain/CryptoClean TechnologyCoachingClimateMental Health/WellnessReal EstateSocial ImpactCommunity,MarketingGrowthCommunicationsBusiness DevelopmentResearch
User7,"San Francisco, United States",B2B SaaSEcommerceEnterprise,Software EngineeringProduct ManagementOperations,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,B2B SaaSBlockchain/CryptoConsumerEcommerceEducationFinTechHealthcareMarketplaceSocial,DesignGrowthResearchProduct Management
User8,"New York, United States",Clean TechnologyAnalyticsDeveloper ToolsEnterpriseInsuranceIOT,Software EngineeringProduct ManagementAnalytics,Built a basic prototype/MVPIn early stages of exploring a specific idea,Looking for co-founder,Clean TechnologySocial EnterprisePeople OpsProductivityFuture of WorkEnterpriseB2B SaaSAI/ML,Software EngineeringProduct ManagementBusiness Development
User9,"San Francisco, United States",CoachingDeveloper ToolsConsumerEcommerceEnterpriseProductivityReal EstateSocial,Software Engineering,Open to new ideas,Looking to join another teamLooking for co-founder,Developer ToolsAI/MLFuture of WorkMental Health/WellnessProductivityReal EstateRoboticsClean TechnologyClimateConsumer,Business DevelopmentProduct Management
User10,"San Francisco, United States",B2B SaaSAnalytics,OperationsAnalyticsGrowth,In early stages of exploring a specific idea,Looking for co-founder,B2B SaaSPeople OpsFuture of WorkAI/MLAnalytics,Product ManagementC-Suite ExecutivesSoftware Engineering
User11,"San Francisco, United States",B2B SaaSEcommerceFinTech,Product ManagementRecruitingResearch,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,B2B SaaSEcommerceEnterpriseFinTech,C-Suite ExecutivesSoftware Engineering
User12,"Berlin, Germany",Future of WorkEcommerceEducationMarketplace,Product ManagementC-Suite Executives,In early stages of exploring a specific idea,Looking for co-founderLooking for first employees,EducationFuture of WorkConsumerCommunityMarketplaceSocial,DesignProduct ManagementRecruitingSoftware EngineeringC-Suite Executives
User13,"San Francisco, United States",BiotechCoachingCommunityEducationHardwareHealthcareMental Health/WellnessB2B SaaSAI/ML,Software EngineeringProduct ManagementSales,In early stages of exploring a specific ideaOpen to new ideasBuilt a basic prototype/MVP,Looking for co-founder,BiotechClean TechnologyBlockchain/CryptoCoachingConsumerDirect to ConsumerEcommerceFinTechHealthcareInsurance,DesignSoftware Engineering
User14,"Hoboken, United States",EnterpriseHealthcareMarketplace,Software EngineeringBusiness DevelopmentProduct Management,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founderLooking to join another team,AI/MLB2B SaaSBiotechBlockchain/CryptoClean TechnologyClimateHealthcareMarketplaceVentureReal Estate,Business DevelopmentGrowthProduct ManagementRecruitingSoftware EngineeringData Science
User15,"Santa Clara, United States",AcademiaAnalyticsBiotechEcommerceFinTechFuture of FoodInsuranceScienceBlockchain/CryptoDirect to Consumer,ResearchCommunicationsData Science,Open to new ideas,Looking for co-founderLooking to join another team,AI/MLBiotechBlockchain/CryptoClean TechnologyEcommerceFinTechFuture of FoodFuture of WorkMental Health/WellnessMarketplace,
User16,"Rochester, United States",AI/MLAnalyticsB2B SaaSClimateCommunityDirect to Consumer,Business DevelopmentData ScienceCommunications,Open to new ideasRaising funding,Looking for co-founderLooking to join another team,AI/MLAnalyticsB2B SaaSBlockchain/CryptoClean TechnologyClimateCommunityEducationEnterpriseMarketplace,DesignGrowthHardware EngineeringMarketingData ScienceAnalyticsC-Suite Executives
User17,"San Francisco, United States",FinTechGovernmentB2B SaaSEcommerceMarketplace,Business DevelopmentOperationsGrowth,Built a basic prototype/MVPOpen to new ideas,Looking for co-founderLooking to join another team,AI/MLClimateFinTechMarketplaceClean TechnologyEcommerce,Data ScienceC-Suite ExecutivesProduct Management
User18,"New York, United States",AnalyticsEcommerceCoachingConsumerDirect to ConsumerPeople OpsTalent,AnalyticsMarketingOperations,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founder,AnalyticsClean TechnologyClimateDirect to ConsumerEcommerceFuture of WorkMarketplaceNo-CodeSocial ImpactCommunity,Software Engineering
User19,"Paris, France",B2B SaaSEnterprise,Product Management,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founderLooking to join another team,ClimateB2B SaaSAnalyticsFinTechProductivityAI/ML,MarketingBusiness Development
User20,,B2B SaaS,Software EngineeringDesignProduct Management,Open to new ideas,Looking for co-founder,B2B SaaSAI/MLBlockchain/CryptoClean TechnologyCoachingClimateMental Health/WellnessReal EstateSocial ImpactCommunity,MarketingGrowthCommunicationsBusiness DevelopmentResearch
User21,"San Francisco, United States",B2B SaaSEcommerceEnterprise,Software EngineeringProduct ManagementOperations,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,B2B SaaSBlockchain/CryptoConsumerEcommerceEducationFinTechHealthcareMarketplaceSocial,DesignGrowthResearchProduct Management
User22,"New York, United States",Clean TechnologyAnalyticsDeveloper ToolsEnterpriseInsuranceIOT,Software EngineeringProduct ManagementAnalytics,Built a basic prototype/MVPIn early stages of exploring a specific idea,Looking for co-founder,Clean TechnologySocial EnterprisePeople OpsProductivityFuture of WorkEnterpriseB2B SaaSAI/ML,Software EngineeringProduct ManagementBusiness Development
User23,"San Francisco, United States",CoachingDeveloper ToolsConsumerEcommerceEnterpriseProductivityReal EstateSocial,Software Engineering,Open to new ideas,Looking to join another teamLooking for co-founder,Developer ToolsAI/MLFuture of WorkMental Health/WellnessProductivityReal EstateRoboticsClean TechnologyClimateConsumer,Business DevelopmentProduct Management
User24,"San Francisco, United States",B2B SaaSAnalytics,OperationsAnalyticsGrowth,In early stages of exploring a specific idea,Looking for co-founder,B2B SaaSPeople OpsFuture of WorkAI/MLAnalytics,Product ManagementC-Suite ExecutivesSoftware Engineering
User25,"San Francisco, United States",B2B SaaSEcommerceFinTech,Product ManagementRecruitingResearch,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,B2B SaaSEcommerceEnterpriseFinTech,C-Suite ExecutivesSoftware Engineering
User26,"Berlin, Germany",Future of WorkEcommerceEducationMarketplace,Product ManagementC-Suite Executives,In early stages of exploring a specific idea,Looking for co-founderLooking for first employees,EducationFuture of WorkConsumerCommunityMarketplaceSocial,DesignProduct ManagementRecruitingSoftware EngineeringC-Suite Executives
User27,"San Francisco, United States",BiotechCoachingCommunityEducationHardwareHealthcareMental Health/WellnessB2B SaaSAI/ML,Software EngineeringProduct ManagementSales,In early stages of exploring a specific ideaOpen to new ideasBuilt a basic prototype/MVP,Looking for co-founder,BiotechClean TechnologyBlockchain/CryptoCoachingConsumerDirect to ConsumerEcommerceFinTechHealthcareInsurance,DesignSoftware Engineering
User28,"London, United Kingdom",FinTech,Business DevelopmentFinanceC-Suite Executives,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,Blockchain/CryptoFinTechVR/ARSocialGamingRoboticsClimateConsumer,FinanceData ScienceSoftware EngineeringProduct ManagementOperationsHardware Engineering
User29,"San Francisco, United States",B2B SaaSCommunityProductivityClimateConsumerMental Health/Wellness,Product ManagementDesignBusiness Development,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founderLooking to join another team,ProductivityFuture of WorkB2B SaaSMental Health/Wellness,SalesSoftware EngineeringDesign
User30,"Miami, United States",MarketplaceFuture of Food,OperationsProduct Management,Built a basic prototype/MVPIn early stages of exploring a specific idea,Looking for co-founderLooking for first employees,AcademiaConsumerEcommerceFuture of FoodFuture of WorkGovernmentMarketplaceTalentPeople Ops,Customer ServiceC-Suite ExecutivesSoftware EngineeringGrowthDesign
User31,"St. Augustine Beach, United States",MarketplaceCommunityFuture of Work,SalesGrowthRecruiting,Starting to onboard customers,Looking for first employeesLooking for co-founder,Future of WorkMarketplaceTransportation & TravelSocialEducationConsumerCommunity,Software EngineeringDesignSales
User32,"Santa Cruz, United States",Developer ToolsRoboticsB2B SaaSSocialIOTProductivity,Software EngineeringProduct Management,In early stages of exploring a specific ideaBuilt a basic prototype/MVP,Looking for co-founder,B2B SaaSDeveloper ToolsRoboticsNo-CodeFuture of WorkEducationBlockchain/Crypto,
User33,"San Francisco, United States",People OpsCoachingFuture of WorkTalentEducation,CommunicationsOperationsRecruiting,Built a basic prototype/MVPStarting to onboard customersOpen to new ideas,Looking for co-founder,AI/MLAnalyticsB2B SaaSCoachingEducationFuture of WorkNo-CodePeople OpsProductivityTalent,AnalyticsBusiness DevelopmentCustomer ServiceGrowthMarketing
User34,"New York, United States",AI/MLDeveloper ToolsHealthcareNo-CodeProductivity,Software EngineeringData Science,Open to new ideas,Looking for co-founderLooking to join another team,HealthcareAI/MLAnalyticsDeveloper ToolsFinTechFuture of WorkNo-CodeProductivityTransportation & Travel,
User35,"San Francisco, United States",ConsumerDirect to ConsumerHardwareFuture of Work,Product ManagementMarketingDesign,Built a basic prototype/MVP,Looking for co-founder,EnterpriseFuture of WorkB2B SaaSCoaching,Software Engineering
User36,"San Francisco, United States",ConsumerDeveloper ToolsBiotechScience,DesignResearchProduct Management,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founder,SocialFinTechFuture of Work,Software Engineering
User37,Italy,AnalyticsMarketplaceFuture of FoodTalent,GrowthAnalyticsC-Suite Executives,In early stages of exploring a specific idea,Looking for co-founder,B2B SaaSFuture of WorkNo-CodeTalentAnalytics,DesignSoftware EngineeringProduct Management
User38,"San Francisco, United States",B2B SaaSFinTechEnterprise,Software EngineeringProduct Management,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founder,B2B SaaSBlockchain/CryptoFinTechMental Health/WellnessProductivity,Software EngineeringDesignMarketing
User39,"San Francisco, United States",B2B SaaSGamingCoachingMental Health/Wellness,Business DevelopmentOperationsAnalytics,In early stages of exploring a specific idea,Looking for first employeesLooking for co-founder,EducationGamingB2B SaaSEcommerceMarketplaceSocial,DesignFinanceMarketingOperationsProduct ManagementSoftware Engineering
User40,Other,ClimateCommunityFuture of FoodFuture of WorkGovernmentLegalPeople OpsTalent,Business DevelopmentGrowthC-Suite Executives,Built a basic prototype/MVPIn early stages of exploring a specific ideaRaising funding,Looking for co-founder,ClimateCommunityFuture of WorkFuture of FoodGovernmentLegalMental Health/WellnessSocial ImpactTransportation & Travel,
User41,"Los Angeles, United States",Direct to ConsumerEcommerceMental Health/WellnessReal EstateHardware,Business DevelopmentSalesOperations,Built a basic prototype/MVPStarting to onboard customers,Looking for first employeesLooking for co-founder,ClimateCommunityDirect to ConsumerEcommerceFuture of FoodFuture of WorkMental Health/WellnessReal EstateTransportation & TravelSocial,MarketingDesignGrowth
User42,"Toronto, Canada",MarketplaceFuture of WorkVentureB2B SaaS,OperationsC-Suite ExecutivesBusiness Development,Built a basic prototype/MVPStarting to onboard customers,Looking for first employees,VentureB2B SaaSClean TechnologyBiotechFuture of WorkProductivityMental Health/Wellness,Product ManagementGrowthBusiness Development
User43,Singapore,B2B SaaSBlockchain/CryptoEducation,Business DevelopmentSalesRecruiting,Raising funding,Looking for co-founder,B2B SaaSEducationAcademia,MarketingSoftware Engineering
User44,"Austin, United States",HealthcareMental Health/WellnessConsumerDirect to Consumer,MarketingGrowth,Seed+,Looking for first employeesLooking for co-founder,FinTechHealthcareInsurance,OperationsCustomer ServiceDesignFinance
User45,"Los Angeles, United States",ConsumerDirect to ConsumerEcommerceFuture of WorkMarketplaceTransportation & TravelVentureFuture of Food,OperationsProduct ManagementGrowth,Open to new ideasIn early stages of exploring a specific idea,Looking to join another team,AI/MLBlockchain/CryptoClimateConsumerDirect to ConsumerEcommerceFinTechMarketplaceNo-CodeReal Estate,Software EngineeringFinanceLegal
User46,"New York, United States",AI/MLAnalyticsDeveloper ToolsVenture,C-Suite ExecutivesSoftware EngineeringData Science,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,AI/MLB2B SaaSDeveloper ToolsFinTechMarketplaceProductivity,
User47,"Los Angeles, United States",B2B SaaSEnterpriseAnalyticsDirect to Consumer,Business DevelopmentSalesOperations,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founder,ConsumerDirect to ConsumerEcommerceB2B SaaSMental Health/WellnessCommunity,Software EngineeringDesignLegalMarketingProduct Management
User48,"Dallas, United States",CoachingDronesEducationEnterpriseFuture of WorkTransportation & Travel,Business DevelopmentCommunicationsProduct Management,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founderLooking for first employees,VentureFuture of WorkEducationReal Estate,Data ScienceAnalyticsGrowthSoftware Engineering
User49,"New York, United States",B2B SaaSBlockchain/Crypto,ResearchFinanceC-Suite Executives,Built a basic prototype/MVPOpen to new ideas,Looking for co-founder,Blockchain/CryptoB2B SaaS,Data ScienceSoftware Engineering
User50,"San Francisco, United States",B2B SaaSEnterpriseVenture,Product ManagementDesignSales,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founderLooking to join another team,B2B SaaSClimateConsumerDirect to ConsumerEnterpriseFuture of FoodHealthcareEcommerceFuture of Work,GrowthMarketingSoftware Engineering
User51,,,,,,,
User52,"San Francisco, United States",FinanceBusiness DevelopmentOperations,In early stages of exploring a specific idea,Looking for co-founder,FinTech,,Business DevelopmentDesignFinanceLegalMarketing
User53,"Sunnyvale, United States",CommunityConsumerDirect to ConsumerEcommerceLegalSocialTalent,CommunicationsOperationsProduct Management,Built a basic prototype/MVP,Looking for co-founder,CommunityDirect to ConsumerEcommerceConsumerMarketplaceReal EstateSocialVenture,GrowthSoftware Engineering
User54,"San Francisco, United States",AcademiaConsumerB2B SaaSFuture of Work,Product ManagementBusiness DevelopmentCommunications,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founderLooking to join another team,CommunityConsumerDirect to ConsumerGovernmentNo-CodeProductivityMental Health/WellnessMarketplaceSocialTransportation & Travel,DesignSoftware Engineering
User55,"London, United Kingdom",B2B SaaSFinTechNo-CodeDeveloper ToolsEnterpriseFuture of WorkPeople Ops,Business DevelopmentSoftware EngineeringFinance,Raising funding,Looking for first employees,B2B SaaSClean TechnologyDeveloper ToolsFinTechPeople Ops,CommunicationsC-Suite ExecutivesProduct ManagementMarketing
User56,"New York, United States",AI/MLAnalyticsB2B SaaSEnterprise,Product ManagementC-Suite ExecutivesData Science,Starting to onboard customersBuilt a basic prototype/MVP,Looking for co-founderLooking for first employees,AI/MLAnalyticsB2B SaaSEnterpriseHardwareProductivity,Business DevelopmentC-Suite ExecutivesAnalyticsData ScienceProduct ManagementOperationsHardware EngineeringGrowthDesign
User57,"Lisbon, Portugal",Blockchain/CryptoFinTechNo-CodeProductivity,Software EngineeringRecruitingProduct Management,Open to new ideasBuilt a basic prototype/MVP,Looking for co-founder,Blockchain/CryptoNo-CodeCommunityFuture of WorkReal Estate,ResearchDesign
User58,"San Francisco, United States",AI/MLB2B SaaSAcademiaAnalyticsScienceEnterprise,Data ScienceResearch,Built a basic prototype/MVP,Looking for co-founder,AI/MLB2B SaaSAcademiaAnalyticsEnterprise,Software Engineering
User59,"San Francisco, United States",FinTechReal Estate,Business DevelopmentFinance,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founder,Real EstateFinTechVentureInsuranceBlockchain/CryptoDeveloper Tools,Business DevelopmentSoftware Engineering
User60,Singapore,FinTechAnalyticsSocialConsumer,Software Engineering,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founder,AI/MLAnalyticsB2B SaaSDeveloper Tools,Business DevelopmentDesign
User61,"New York, United States",Mental Health/WellnessDirect to ConsumerCommunityLegalInsuranceReal Estate,SalesBusiness DevelopmentOperations,Open to new ideas,Looking for co-founderLooking to join another team,CoachingCommunityFuture of WorkHealthcareInsuranceLegalMental Health/WellnessNo-CodeReal EstateBlockchain/Crypto,AnalyticsDesign
User62,"Berlin, Germany",B2B SaaSCommunityMarketplaceFuture of WorkEducation,FinanceGrowthBusiness Development,Built a basic prototype/MVP,Looking for co-founder,B2B SaaSCommunityEducationFuture of WorkMarketplace,DesignProduct ManagementSoftware Engineering
User63,"Christchurch, new Zealand",CoachingAI/MLDirect to Consumer,Product ManagementMarketingGrowth,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founderLooking to join another team,CoachingCommunityEducationFuture of WorkVenture,DesignBusiness Development
User64,"Palo Alto, United States",AnalyticsB2B SaaSTransportation & TravelNo-CodeAI/MLGovernment,Product ManagementData ScienceBusiness Development,Open to new ideas,Looking for co-founderLooking to join another team,AI/MLAnalyticsB2B SaaSCommunityConsumerEducationEnterpriseFinTechFuture of WorkNo-Code,Software Engineering
User65,"Boston, United States",EnterpriseHealthcareMarketplaceMental Health/WellnessPeople OpsVentureDirect to ConsumerConsumer,GrowthOperationsProduct Management,Built a basic prototype/MVP,Looking for co-founder,HealthcareConsumerCommunityDirect to ConsumerEnterpriseMarketplaceMental Health/WellnessVenture,DesignSoftware EngineeringProduct ManagementMarketing
User66,"Raleigh, United States",AI/MLEducationGamingIOT,Software EngineeringHardware Engineering,Built a basic prototype/MVPIn early stages of exploring a specific idea,Looking for co-founder,AI/MLConsumerEducationIOTVR/ARDeveloper ToolsFuture of WorkGamingNo-Code,ResearchProduct ManagementDesign
User67,"Bangalore, India",AnalyticsGamingConsumerCommunityPeople OpsSocial,Product ManagementAnalyticsSoftware Engineering,In early stages of exploring a specific idea,Looking for co-founderLooking for first employees,EducationGamingSocialConsumerFuture of Work,Business DevelopmentSoftware Engineering
User68,"Los Angeles, United States",Future of WorkProductivityCommunityNo-Code,Product ManagementMarketingCommunications,In early stages of exploring a specific idea,Looking for co-founder,CommunityAcademiaEducationFuture of WorkProductivity,CommunicationsResearch
User69,"London, United Kingdom",AI/MLInsuranceTransportation & TravelB2B SaaSEnterprise,Data ScienceBusiness DevelopmentProduct Management,In early stages of exploring a specific idea,Looking for co-founderLooking for first employees,CommunitySocialVentureEcommerceFinTechAI/MLNo-Code,Software EngineeringFinanceDesignCommunicationsOperationsMarketing
User70,"London, United Kingdom",Blockchain/CryptoFinTechB2B SaaS,Software EngineeringRecruitingFinance,In early stages of exploring a specific ideaBuilt a basic prototype/MVP,Looking for co-founder,Blockchain/CryptoFinTech,FinanceLegalGrowth
User71,"Toronto, Canada",AI/MLBlockchain/CryptoClean TechnologyHardwareRoboticsB2B SaaS,ResearchSoftware EngineeringProduct Management,Open to new ideasBuilt a basic prototype/MVPIn early stages of exploring a specific idea,Looking to join another team,AI/MLB2B SaaSBlockchain/CryptoBiotechEnterpriseFinTechHardwareRoboticsClean Technology,Business DevelopmentProduct ManagementData Science
User72,"London, United Kingdom",B2B SaaSConsumerSocial,MarketingBusiness DevelopmentCommunications,Raising fundingStarting to onboard customers,Looking for co-founderLooking for first employees,B2B SaaSCommunityProductivity,GrowthBusiness Development
User73,"New York, United States",AnalyticsConsumerEnterpriseProductivityTalentVenture,AnalyticsSalesBusiness Development,In early stages of exploring a specific idea,Looking for co-founder,AnalyticsReal Estate,Analytics
User74,New Zealand,EnterpriseGovernmentB2B SaaS,Business DevelopmentSalesHardware Engineering,In early stages of exploring a specific idea,Looking for co-founder,B2B SaaSConstructionGovernmentEnterpriseEducationDronesClimate,Software EngineeringSalesDesign
User75,"London, United Kingdom",AI/MLScienceHardwareVentureAcademia,Data ScienceSoftware EngineeringResearch,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founderLooking to join another team,AI/MLHardwareIOTVentureVR/AR,ResearchBusiness DevelopmentHardware Engineering
User76,"San Francisco, United States",MarketplaceFuture of FoodConsumerDirect to ConsumerEcommerce,Product ManagementDesignOperations,In early stages of exploring a specific idea,Looking for co-founderLooking for first employees,ConsumerDirect to ConsumerEcommerceEducationFuture of WorkHealthcareMarketplaceProductivityVentureTalent,ResearchMarketingSoftware EngineeringAnalyticsDesign
User77,"San Francisco, United States",ConsumerSocialProductivityMarketplaceAnalytics,Product ManagementGrowthOperations,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,B2B SaaSAnalyticsConsumerEnterpriseDeveloper ToolsMarketplace,Software EngineeringDesignGrowthMarketingProduct ManagementResearchSales
User78,"San Francisco, United States",AnalyticsB2B SaaSEnterprise,Software EngineeringAnalyticsProduct Management,Built a basic prototype/MVPOpen to new ideas,Looking for co-founderLooking to join another team,B2B SaaSAnalyticsEnterpriseReal EstateFinTech,Business DevelopmentProduct ManagementOperations
User79,"New York, United States",SocialMarketplaceEcommerceDirect to ConsumerConsumerCommunityVentureB2B SaaS,GrowthMarketingProduct Management,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,ConsumerSocialNo-CodeAI/MLGaming,Product ManagementSoftware EngineeringData Science
User80,"San Francisco, United States",AcademiaMental Health/WellnessScienceConsumer,ResearchDesignProduct Management,Built a basic prototype/MVPStarting to onboard customers,Looking for co-founderLooking for first employees,SocialAI/MLCoachingCommunityMental Health/Wellness,GrowthSoftware EngineeringData ScienceMarketing
